A	B	C	TIME
213964	1.44972e+07	1.4481e+07	4.54861
3.54314e+06	2.09495e+08	2.04678e+08	126.505
1.52168e+06	801722	801299	0.211253
4.43552e+06	9.44159e+07	9.23883e+07	35.2466
276796	9.8315e+06	9.8114e+06	5.77717
249387	7.7504e+06	7.74396e+06	4.4962
35149	414938	414857	0.279629
63692	1.11197e+06	1.11179e+06	0.618528
522464	3.38667e+06	3.38469e+06	1.84565
578475	8.91127e+06	8.85606e+06	3.13011
62990	4.18619e+06	4.18407e+06	2.28261
293949	1.74824e+07	1.73314e+07	10.1299
141531	180424	180421	0.148847
2.13258e+06	3.10815e+07	3.09797e+07	10.2801
2.14042e+06	4.42811e+07	4.39015e+07	25.856
5.03412e+06	4.60573e+08	4.49803e+08	323.261
29201	142772	142714	0.043079
29054	345152	344647	0.182652
28341	840599	839114	0.716752
2.03878e+06	9.22131e+07	9.06826e+07	33.1694
4.21735e+06	2.3504e+08	2.29245e+08	83.7903
252331	2.09332e+07	2.08612e+07	13.1538
527181	6.02412e+06	6.01673e+06	3.40291
5.27823e+06	5.14467e+07	5.10421e+07	18.648
381449	2.13349e+07	2.12672e+07	12.851
1.27819e+06	3.59124e+07	3.54585e+07	20.628
531619	395099	391551	0.1152
3.36413e+06	5.81908e+07	5.71662e+07	21.3995
2.06766e+06	80270.5	80267.1	0.019977
711850	3.04063e+07	3.03345e+07	10.242
1.22813e+06	1.48776e+07	1.48216e+07	5.08578
1.48852e+06	8.48735e+06	8.43078e+06	2.86484
173184	167167	167149	0.094926
90578	7.25767e+06	7.25321e+06	4.3153
7.53324e+06	3.75763e+07	3.72727e+07	13.2858
233296	2.42006e+06	2.41609e+06	1.33725
1.93777e+06	5.39066e+07	5.31547e+07	31.2964
440581	1.74228e+07	1.73931e+07	10.4944
27150	676670	676603	0.384107
3.75803e+06	1.8792e+08	1.85547e+08	66.315
3.02881e+06	2.57466e+07	2.56736e+07	15.5132
1.51258e+06	5.20972e+06	5.15611e+06	1.71789
2.59123e+06	1.01288e+07	1.01055e+07	5.6978
113134	369603	369530	0.117083
828612	478368	476961	0.128739
1.55702e+06	7.06586e+07	7.0218e+07	24.8528
52495	2.6223e+06	2.62085e+06	1.43432
1.09692e+06	4.06335e+07	4.03583e+07	14.3203
272731	8.41679e+06	8.38089e+06	4.8779
69167	1.05299e+06	1.05292e+06	0.612644
30117	1.05161e+06	1.05136e+06	0.642572
710635	5.11719e+07	5.07675e+07	30.8966
2.82769e+06	9.06128e+07	8.88623e+07	32.0464
13326	1349.34	1349.34	0.005544
430699	809743	809614	0.226129
30170	1.27283e+06	1.27267e+06	0.692712
197509	1.62967e+06	1.62761e+06	0.889065
911733	2.15316e+07	2.14126e+07	7.69006
490698	1.88282e+06	1.87573e+06	0.58978
762612	5.57488e+07	5.53817e+07	34.4429
1.00007e+06	5.02005e+06	5.00156e+06	1.59407
1.55755e+06	4.20904e+07	4.18952e+07	25.3554
60435	2.85117e+06	2.84421e+06	1.5771
1.73164e+06	2.84221e+07	2.83641e+07	17.4254
206761	1.77737e+06	1.768e+06	0.897832
670768	1.77475e+07	1.76807e+07	6.1359
13800	22219.5	22219.1	0.015363
3.34931e+06	1.57325e+08	1.54954e+08	96.628
1.08988e+06	2.07053e+07	2.0602e+07	7.15939
1.54604e+06	2.64941e+07	2.60846e+07	15.0281
308697	1.40746e+07	1.40452e+07	8.35033
1.296e+06	2.42773e+07	2.41043e+07	8.40038
306300	695812	694510	0.206995
623	1946.54	1946.48	0.007896
137698	2.04314e+06	2.03141e+06	0.997765
52260	403230	402200	0.219927
929433	7.14135e+07	7.0628e+07	42.8542
158299	3.37407e+06	3.37314e+06	1.98302
842165	3.63038e+07	3.54249e+07	20.5411
711121	1.79926e+07	1.792e+07	10.7071
2.27708e+06	1.5377e+08	1.51789e+08	95.6836
4.53776e+06	6.62467e+07	6.44805e+07	24.297
514065	1.05943e+07	1.05522e+07	3.29544
3904	1039.32	1039.3	0.001631
35461	1.14238e+06	1.14208e+06	0.590173
577126	3.80037e+06	3.7996e+06	1.00576
4306	274780	274759	0.307923
1.12099e+06	2.59548e+07	2.5796e+07	9.29566
345869	2.73726e+06	2.73422e+06	0.770731
258223	828465	827798	0.235305
11358	563886	563281	0.312299
308771	6.83034e+06	6.82566e+06	2.03284
578117	2.28514e+07	2.27368e+07	7.46269
335773	2.73741e+06	2.73591e+06	1.56225
325767	863928	863773	0.228685
6.89712e+06	2.03496e+08	2.00958e+08	75.2293
732811	3.19163e+07	3.17332e+07	19.0106
2.54077e+06	8.4756e+06	8.38224e+06	2.74254
122429	1.46515e+06	1.46468e+06	0.517148
1.34164e+06	1.16273e+07	1.15319e+07	4.14163
1.6892e+06	6.30442e+06	6.17241e+06	2.19478
721804	1.0471e+07	1.03867e+07	3.39942
323696	1.15751e+07	1.15515e+07	3.76671
2.78655e+06	9.26555e+07	9.17002e+07	33.6452
981496	5.57233e+06	5.5676e+06	1.74556
99547	529445	529348	0.149198
2.04935e+06	9.56797e+06	9.55846e+06	5.6387
19527	144703	144678	0.085052
32770	384425	384381	0.101507
1.21029e+06	5.42017e+07	5.34625e+07	31.9902
84960	2.99252e+06	2.98766e+06	1.59542
389785	645196	645085	0.153601
1.06788e+06	7.45148e+06	7.41342e+06	2.54714
2.17395e+06	2.33476e+07	2.32562e+07	13.9628
733766	1.83592e+07	1.83311e+07	11.0077
1.02633e+06	6.34288e+07	6.27212e+07	36.8291
372456	1.82895e+07	1.82553e+07	6.24722
15050	204177	204064	0.103672
3.09004e+06	4.34139e+07	4.29143e+07	15.4064
218508	1.07472e+06	1.07341e+06	0.568154
753587	3.48183e+06	3.47902e+06	1.01889
2.35574e+06	2.00181e+08	1.97445e+08	127.364
1.90342e+06	1.03657e+07	1.03005e+07	5.93636
640450	5.62082e+07	5.46331e+07	31.9828
1.37631e+06	6.13973e+06	6.1077e+06	1.96917
181534	743044	742251	0.379422
61281	165920	165862	0.047658
220329	227795	227546	0.061336
366059	1.506e+07	1.5027e+07	5.03139
2.93994e+06	790940	790803	0.194996
20301	651717	651554	0.496893
419405	3.59055e+06	3.58827e+06	0.934203
1.09127e+06	1.12452e+07	1.11639e+07	3.80199
837010	4.47287e+07	4.4458e+07	27.1995
5.80983e+06	2.50457e+08	2.4563e+08	93.1038
43865	169168	169161	0.139873
6.54305e+06	1.3311e+08	1.31815e+08	46.7329
1.17076e+06	1.06913e+08	1.05245e+08	63.729
1.52086e+06	1.01804e+08	9.89313e+07	58.3444
961335	7.10251e+07	7.06714e+07	43.7654
6.98922e+06	4.46061e+08	4.34834e+08	167.155
139233	7.88117e+06	7.87484e+06	2.44169
60989	2.16358e+06	2.16293e+06	0.667502
284645	328677	328570	0.079982
3.99757e+06	1.22588e+08	1.2131e+08	44.6287
463796	955538	954778	0.491106
91606	723171	718962	0.414573
747744	626576	626516	0.349959
334118	1.34498e+07	1.32601e+07	7.65725
713262	8.64161e+06	8.63576e+06	2.67326
1.48607e+06	3.23289e+07	3.20655e+07	11.0674
1.93938e+06	6.35428e+06	6.28398e+06	2.08488
5316	377787	377543	0.229932
466641	1.20529e+07	1.20398e+07	3.86854
378523	4.20208e+06	4.19948e+06	1.18109
133762	1.91898e+06	1.91614e+06	0.978059
278814	6.46232e+06	6.45696e+06	2.04089
1.05068e+06	4.5954e+07	4.57218e+07	15.7461
6.51016e+06	7.80655e+06	7.77304e+06	2.58552
1.19433e+06	1.39638e+07	1.38533e+07	4.79835
427595	1.92066e+07	1.91776e+07	11.5734
128242	5.49881e+06	5.41695e+06	3.16898
135611	246898	244638	0.086165
388624	3.45652e+07	3.44336e+07	21.6222
203676	2.51948e+06	2.51533e+06	0.789153
1.54971e+06	1.05289e+06	1.05105e+06	0.308952
72456	1.06258e+06	1.05691e+06	0.625245
319950	2.67557e+07	2.65325e+07	16.0677
121020	845577	844624	0.485018
1.49897e+06	9.36273e+07	9.16016e+07	54.5401
1.07317e+06	1.49083e+07	1.48026e+07	8.54199
1.7805e+06	1.11888e+08	1.10205e+08	67.3198
1.06488e+06	4.38482e+07	4.36034e+07	14.893
538686	1.61119e+07	1.60572e+07	9.41036
64066	293277	293232	0.169319
181139	5978.99	5978.75	0.00958
1.89445e+06	3.31525e+07	3.28773e+07	19.866
2.05366e+06	5.11753e+07	5.08764e+07	31.0884
1.78978e+06	6.2791e+06	6.11962e+06	2.1056
4.29295e+06	8.23015e+07	7.96092e+07	23.8273
1.24298e+06	3.9669e+07	3.9412e+07	14.0526
2.04932e+06	5.3625e+07	5.28482e+07	18.8821
4.13297e+06	6.16406e+07	5.96533e+07	18.56
269677	613012	607396	0.292354
66966	632207	632130	0.329551
551749	429617	429536	0.232406
1.81068e+06	4.24687e+07	4.22903e+07	14.6509
3.18211e+06	5.20169e+07	5.11784e+07	17.9544
3.22298e+06	5.92855e+07	5.84259e+07	20.9479
788550	1.64535e+07	1.64038e+07	5.22916
875689	1.08823e+07	1.08448e+07	3.66029
195485	1.96121e+06	1.9543e+06	1.04311
211309	617202	613676	0.298552
1.51429e+06	4.00308e+07	3.95554e+07	22.8554
1.80443e+06	1.69895e+08	1.64946e+08	100.314
942082	7.02434e+07	6.89865e+07	40.4757
1.39202e+06	8.43212e+07	8.35502e+07	51.4859
5.69867e+06	1.58518e+08	1.54681e+08	57.4949
153145	8.76758e+06	8.74927e+06	5.16053
314851	9.05967e+06	8.94191e+06	4.82522
81936	860.981	860.981	0.008869
5.37287e+06	8.65502e+07	8.57138e+07	30.6116
792085	2.77581e+06	2.77355e+06	0.814837
6.21822e+06	1.40524e+08	1.37125e+08	51.7456
434161	1.1954e+07	1.1894e+07	4.03984
805435	1.49804e+06	1.49786e+06	0.382915
698162	7.13819e+06	7.11556e+06	4.06808
2.72242e+06	1.81297e+07	1.78936e+07	6.4486
455956	1.0034e+07	1.00032e+07	5.72749
3.09716e+06	2.23401e+08	2.20271e+08	85.2648
23020	189926	189852	0.045317
1.54858e+06	9.64115e+07	9.39388e+07	55.2247
58345	2.81838e+06	2.79383e+06	1.67178
1.47159e+06	3.13701e+07	3.09849e+07	10.9444
189394	952392	951754	0.502821
22225	1.6263e+06	1.62613e+06	0.903469
193659	5.02891e+06	5.0142e+06	2.80018
856704	2.34317e+07	2.33328e+07	8.31625
